source_text,plagiarized_text,label
Researcher have discovered a new species of butterfly in the Amazon rain forest.,Scientist have found a previously unknown butterfly species in the Amazon jungle.,1
The moon orbits the earth in approximately 27.3 days,Our natural satellite takes around 27.3 days to complete one orbit around our planet.,1
Water is composed of two hydrogen atoms and one oxygen atom. ,H20 consists of 2 hydrosen atom and 1 oxygen atom ,1
The history of Rome dates back to 753 BC.,Rome has a long history that can be traced back to 753 BC.,1
Pluto was once considered the ninth planet in our solar system,In the past Pluto was classified as the ninth planet in our sun’s planetary system.,1
This is a unique and originial sentence ,This sentence is unique and original,0
Artificial Intelligence is reshaping industries.,AI is changing the landscape of various sector.,0
Python is a popular programming Language for data science.,Data science often relies on python as a widely used programming langauage.,0
The Earth revolves around the Sun in a nearly circular orbit,Our planet follows an almost circular path as it moves around the central star,0
Paris is the capital of France,France’s capital city is Paris,0
Research shows that regular exercise is beneficial for overall health.,Studies indicate that consistent physical activity contributes to general well-being.,1
The human brain consists of approximately 86 billion neurons,About 86 billion neurons make up the structure of the human brain.,1
Global warming is causing changes in weather patterns,Climate change is leading to alterations in global weather patterns.,1
Photosynthesis is the process by which plants convert sunlight into energy,Plants utilize sunlight to produce energy through the process of photosynthesis.,1
The Great Wall of China is a UNESCO World Heritage Site,The Great Wall is recognized as a UNESCO World Heritage Site,1
Cats are known for their agility and hunting skills,These animals are famous for their hunting prowess and agility,1
Mount Everest is the highest peak in the world,The summit of Mount Everest is the highest point on Earth,1
Water boils at 100 degrees Celsius at sea level,At sea level  water boils at a temperature of 100 degrees Celsius,1
The Atlantic Ocean is the smallest ocean, The smallest ocean on Earth is the Atlantic Ocean,0
Owls are blind during the day,Owls have perfect vision during the day,0
A cat has nine lives,Cats only have one life,0
The Eiffel Tower is located in Paris,Paris is the home of the iconic Eiffel Tower,1
The Declaration of Independence was signed in 1776,1776 marks the year when the Declaration of Independence was signed,1
Elephants are the largest land animals on Earth,The largest land animals on Earth are elephants,1
The Pacific Ocean is the largest ocean on the planet,The largest ocean on Earth is the Pacific Ocean,1
The human body has 206 bones,There are 206 bones in the human body,1
In chemistry  H2O is the chemical formula for water,Water's chemical formula is H2O in the field of chemistry,1
The Sahara Desert is the largest hot desert in the world,The largest hot desert globally is the Sahara Desert,1
William Shakespeare is widely regarded as one of the greatest playwrights,Many consider William Shakespeare one of the greatest playwrights of all time,1
The Amazon River is the second-longest river in the world,The Amazon is the world's second-longest river,1
Photosynthesis is the process by which plants produce oxygen and glucose,Plants produce oxygen and glucose through the process of photosynthesis,1
Venus is the hottest planet in our solar system,Venus holds the title of the hottest planet in our solar system,1
The Mona Lisa is a famous painting by Leonardo da Vinci,Leonardo da Vinci created the renowned painting known as the Mona Lisa,1
The nucleus is the central part of an atom,An atom's central part is called the nucleus,1
The United States Constitution was adopted in 1787,1787 is the year when the United States Constitution was adopted,1
The Arctic Circle is located around the North Pole,The Arctic Circle surrounds the North Pole,1
Oxygen is essential for human survival,Human survival requires the presence of oxygen,1
The first manned moon landing occurred in 1969,1969 saw the first successful manned landing on the moon,1
Diamonds are formed under high pressure and heat,High pressure and heat contribute to the formation of diamonds,1
Jupiter is the largest planet in our solar system,The largest planet in our solar system is Jupiter,1
Antarctica is the southernmost continent on Earth,The southernmost continent on Earth is Antarctica,1
The human heart pumps blood throughout the body,The circulation of blood throughout the body is facilitated by the human heart,1
The Great Barrier Reef is the largest coral reef system,The largest coral reef system is known as the Great Barrier Reef,1
The speed of sound is faster in solids than in gases,Sound travels faster in solids compared to gases,1
The Statue of Liberty is located in New York Harbor,New York Harbor is home to the Statue of Liberty,1
Mars is often referred to as the Red Planet,The Red Planet is a common nickname for Mars,1
